No,NIK,Nama,Unit Kerja,Status,Disetujui,Layanan,Jabatan,NIP
1,3201674314557433,LIA NOVITA,BADAN PUSAT STATISTIK KABUPATEN BREBES,Terdata di BKD,Perlu Pertimbangan,Kenaikan Pangkat,Pegawai Bidang,198407281234701456
2,3201432305633194,FITRI HANDAYANI,DINAS KESEHATAN KABUPATEN TEGAL,Terdata di BKD,Disetujui,Mutasi,Pegawai Bidang,198911051234703567
3,3201330098853787,EKO PRASETYO,INSPEKTORAT DAERAH KABUPATEN BREBES,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Gaji Berkala,Kepala Bidang,198105231234704678
4,3201794595135083,GITA PURNAMA,BKPSDM KABUPATEN BREBES,Terdata di BKD,Perlu Pertimbangan,Pensiun,Pegawai Bidang,199103111234705789
5,3201061967040514,EKO PRASETYO,BADAN KEUANGAN DAERAH KABUPATEN TEGAL,Terdata di BKD,Perlu Pertimbangan,Kenaikan Pangkat,Pegawai Bidang,199507151234709890
6,3201604711617397,AGUS WIJAYA,POLRES BREBES,Terdata di BKD,Perlu Pertimbangan,Gaji Berkala,Kepala Bidang,199010251234710123
7,3201617630175221,GESPARD,DINAS PARIWISATA KABUPATEN TEGAL,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Mutasi,Pegawai Bidang,199204211234711234
8,3201772626402209,ADE SUSANTORO,DINAS PERDAGANGAN KABUPATEN BREBES,Terdata di BKD,Disetujui,Pensiun,Pegawai Bidang,197707201234713345
9,3201084892962911,RIFQI KHULAEFAH,KANTOR IMIGRASI KELAS II TEGAL,Terdata di BKD,Perlu Pertimbangan,Kenaikan Pangkat,Pegawai Bidang,199112131234716456
10,3201609931111075,DEWI LESTARI,SEKRETARIAT DAERAH KABUPATEN BREBES,Tidak Terdata di BKD/BKN,Disetujui,Pensiun,Pegawai Bidang,197804101234717567
11,3201719886633588,FITRI HANDAYANI,DINAS SOSIAL KABUPATEN TEGAL,Tidak Terdata di BKD/BKN,Disetujui,Gaji Berkala,Pegawai Bidang,199306131234719678
12,3201506687759005,HADI SRIKANDI,DINAS PERTANIAN DAN KETAHANAN PANGAN KABUPATEN BREBES,Tidak Terdata di BKD/BKN,Disetujui,Mutasi,Pegawai Bidang,198601051234721789
13,3201072859140413,I GEDE PUTRANIYA,DINAS LINGKUNGAN HIDUP KABUPATEN TEGAL,Terdata di BKD,Disetujui,Kenaikan Pangkat,Sekretaris Bidang,198508101234723890
14,3201549724815743,LIA NOVITA,KODIM 0713 BREBES,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Gaji Berkala,Pegawai Bidang,199009181234725012
15,3201936914893981,GASPARD,DINAS PERHUBUNGAN KABUPATEN BREBES,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Pensiun,Pegawai Bidang,199401201234728123
16,3201096507130978,FITRI HANDAYANI,KANTOR KEMENTERIAN AGAMA KABUPATEN BREBES,Terdata di BKD,Disetujui,Mutasi,Pegawai Bidang,198901291234729234
17,3201548883268386,HADI SUSANTO,PENGADILAN NEGERI TEGAL,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Gaji Berkala,Pegawai Bidang,197704181234732345
18,3201271555896166,DEWI LESTARI,DINAS KETAHANAN PANGAN DAN PETERNAKAN KABUPATEN BREBES,Terdata di BKD,Perlu Pertimbangan,Pensiun,Pegawai Bidang,198804161234734456
19,3201819553267063,FITRI HANDAYANI,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU KABUPATEN TEGAL,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Kenaikan Pangkat,Pegawai Bidang,199108061234737567
20,3201852676373311,INDRA WIJAYA,KANTOR PELAYANAN PAJAK PRATAMA TEGAL,Tidak Terdata di BKD/BKN,Perlu Pertimbangan,Pensiun,Kepala Bidang,199509141234738678
21,3201139825579517,GITA PURNAMA,DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK KABUPATEN BREBES,Terdata di BKD,Perlu Pertimbangan,Mutasi,Pegawai Bidang,199212251234741789
22,3201740638103996,DEWI LESTARI WATI,DINAS KEPEMUDAAN DAN OLAHRAGA KABUPATEN TEGAL,Terdata di BKD,Disetujui,Kenaikan Pangkat,Pegawai Bidang,198412191234743890
